quantity,productName,Sales_Channel_Effort,Pressure_Index,Temperature_Condition
19,Module_Lambda_10,"Fair","Strong","Very_High"
6,Engine_Rho_16,"Fair","Strong","Low"
5,Piece_Theta_7,"Fair","Normal","Low"
1,Device_Delta_3,"Fair","Weak","Low"
16,Part_Nu_12,"Fair","Normal","High"
1,Gadget_Beta_1,"Fair","Weak","Low"
6,System_Iota_8,"Fair","Normal","Low"
19,Engine_Rho_16,"Fair","Weak","High"
16,Item_Zeta_5,"Fair","Normal","High"
17,Piece_Theta_7,"Fair","Strong","High"
10,Element_Xi_13,"Fair","Weak","Medium"
19,Engine_Rho_16,"Fair","Strong","Medium"
18,Assembly_Omicron_14,"Fair","Strong","Very_High"
19,Item_Zeta_5,"Fair","Normal","Very_High"
11,Unit_Eta_6,"Fair","Strong","Medium"
18,Module_Lambda_10,"Fair","Normal","High"
20,Apparatus_Gamma_2,"Poor","Strong","High"
9,Element_Xi_13,"Poor","Normal","Medium"
6,Component_Kappa_9,"Fair","Normal","Medium"
4,Machine_Pi_15,"Fair","Weak","Medium"
16,Item_Zeta_5,"Fair","Normal","High"
25,Piece_Theta_7,"Fair","Strong","High"
22,Piece_Theta_7,"Fair","Strong","High"
1,Apparatus_Gamma_2,"Fair","Weak","Medium"
1,Widget_Alpha_0,"Fair","Normal","Low"
23,Engine_Rho_16,"Fair","Normal","Medium"
15,Part_Nu_12,"Fair","Normal","Medium"
11,Device_Delta_3,"Fair","Strong","Medium"
8,Tool_Epsilon_4,"Fair","Normal","Medium"
11,Component_Kappa_9,"Fair","Normal","Medium"
10,Gadget_Beta_1,"Fair","Weak","Medium"
5,Unit_Eta_6,"Fair","Weak","Low"
12,System_Iota_8,"Fair","Weak","High"
16,Apparatus_Gamma_2,"Fair","Normal","High"
19,Unit_Eta_6,"Fair","Strong","High"
11,Module_Lambda_10,"Fair","Strong","Medium"
16,Assembly_Omicron_14,"Fair","Normal","High"
6,Device_Delta_3,"Excellent","Weak","Medium"
20,Widget_Alpha_0,"Fair","Strong","Medium"
1,Part_Nu_12,"Fair","Weak","Medium"
25,Unit_Eta_6,"Fair","Normal","Very_High"
20,Gear_Mu_11,"Fair","Strong","Medium"
22,Apparatus_Gamma_2,"Fair","Normal","Very_High"
22,Engine_Rho_16,"Poor","Strong","Very_High"
20,Element_Xi_13,"Fair","Normal","High"
5,System_Iota_8,"Fair","Normal","Low"
21,Machine_Pi_15,"Poor","Strong","High"
2,Assembly_Omicron_14,"Fair","Weak","Low"
25,Element_Xi_13,"Fair","Strong","High"
8,Element_Xi_13,"Fair","Normal","Medium"
1,Apparatus_Gamma_2,"Fair","Weak","Medium"
6,Element_Xi_13,"Fair","Normal","Medium"
6,Item_Zeta_5,"Excellent","Weak","Medium"
13,Apparatus_Gamma_2,"Fair","Normal","Medium"
23,Machine_Pi_15,"Fair","Normal","High"
2,Module_Lambda_10,"Fair","Strong","Low"
22,Device_Delta_3,"Fair","Normal","Very_High"
22,Component_Kappa_9,"Fair","Strong","High"
16,Gear_Mu_11,"Fair","Normal","High"
23,Gadget_Beta_1,"Fair","Normal","Medium"
10,Assembly_Omicron_14,"Fair","Normal","Low"
14,Component_Kappa_9,"Fair","Strong","High"
14,Widget_Alpha_0,"Fair","Normal","High"
1,Part_Nu_12,"Excellent","Weak","Very_Low"
5,Assembly_Omicron_14,"Fair","Strong","Low"
5,Unit_Eta_6,"Fair","Weak","Medium"
10,Assembly_Omicron_14,"Fair","Weak","Very_Low"
1,Unit_Eta_6,"Fair","Normal","Medium"
5,Gadget_Beta_1,"Fair","Normal","Medium"
8,Unit_Eta_6,"Fair","Normal","Medium"
5,Component_Kappa_9,"Fair","Weak","Medium"
25,Widget_Alpha_0,"Fair","Strong","Very_High"
13,Part_Nu_12,"Fair","Normal","High"
22,Apparatus_Gamma_2,"Fair","Normal","High"
7,Element_Xi_13,"Fair","Strong","Low"
5,Component_Kappa_9,"Fair","Normal","Medium"
10,Apparatus_Gamma_2,"Fair","Weak","Low"
25,Unit_Eta_6,"Fair","Normal","Very_High"
20,Device_Delta_3,"Fair","Strong","Medium"
20,Unit_Eta_6,"Poor","Normal","Very_High"
22,Module_Lambda_10,"Poor","Normal","Very_High"
7,Assembly_Omicron_14,"Fair","Weak","High"
12,Part_Nu_12,"Excellent","Weak","Low"
13,Piece_Theta_7,"Fair","Normal","Medium"
23,Gear_Mu_11,"Fair","Strong","Medium"
15,Device_Delta_3,"Poor","Strong","High"
6,Gear_Mu_11,"Fair","Strong","Medium"
19,Unit_Eta_6,"Poor","Normal","High"
13,Device_Delta_3,"Fair","Weak","High"
8,Apparatus_Gamma_2,"Poor","Strong","Medium"
18,Gadget_Beta_1,"Fair","Normal","Very_High"
20,Assembly_Omicron_14,"Fair","Normal","High"
4,Gadget_Beta_1,"Fair","Weak","Medium"
9,Assembly_Omicron_14,"Fair","Weak","Low"
14,Unit_Eta_6,"Fair","Normal","Medium"
10,Device_Delta_3,"Fair","Normal","Medium"
17,Assembly_Omicron_14,"Fair","Normal","High"
3,Assembly_Omicron_14,"Fair","Strong","Very_Low"
12,Widget_Alpha_0,"Fair","Normal","Medium"
2,Apparatus_Gamma_2,"Poor","Normal","Medium"
